player_name,total_runs,total_matches,total_innings,total_not_outs,average,total_balls_faced,strike_rate,hundreds,fifties,fours,sixes
Suyash S Prabhudessai,126,11,10,0,15.38,106,122.52,0,0,11,4
Swapnil Asnodkar,423,20,20,0,14.58,339,115.96,0,2,56,10
Swapnil Singh,51,14,9,4,8.17,45,72.34,0,0,3,3
Syed Mohammad,29,11,5,3,1.67,26,200.64,0,0,4,0
T Natarajan,3,16,3,3,0,5,60,0,0,0,0
Tabraiz Shamsi,2,1,1,1,0,4,50,0,0,0,0
Tanmay Srivastava,8,7,3,2,4,11,40,0,0,0,0
Tanush Kotian,24,1,1,0,24,31,77.41,0,0,3,0
Taruwar Kohli,11,4,4,1,3,19,45.83,0,0,0,1
Tatenda Taibu,31,3,3,0,10.33,26,119.23,0,0,3,0
Thalaivan Sargunam,10,1,1,0,10,17,58.82,0,0,0,0
Thilan Thushara,12,6,4,2,6,18,59.74,0,0,0,0
Thisara Perera,422,36,30,8,13.24,307,102.77,0,0,23,26
Tilak Varma,1156,38,38,9,40.19,790,148.26,0,6,90,58
Tillakaratne Dilshan,735,38,37,4,20.75,666,106.22,0,5,98,11
Tim David,659,38,35,12,23.5,387,141.59,0,0,38,46
Tim Paine,10,2,2,0,5,26,38.46,0,0,0,0
Tim Seifert,26,3,3,0,7,23,88.16,0,0,4,0
Tim Southee,120,47,20,7,7.94,107,115.67,0,0,8,4
Tirumalasetti Suman,676,43,40,8,17.31,575,108.04,0,2,55,26
Tom Banton,18,2,2,0,9,20,90,0,0,1,1
Tom Curran,127,13,10,5,37.22,107,113.18,0,1,10,3
Tom Kohler- Cadmore,48,4,3,0,16,54,88.88,0,0,7,1
Travis Birt,75,5,5,0,15,58,129.31,0,0,9,2
Travis Head,772,25,25,4,32.57,444,155.45,1,5,76,40
Trent Boult,83,96,27,19,6.25,78,75.28,0,0,5,3
Tristan Stubbs,405,18,17,6,22.5,233,107.18,0,3,26,26
Tushar Deshpande,21,5,2,1,21,12,175,0,0,2,1
Tymal Mills,8,5,3,0,2.66,11,72.72,0,0,0,1
Tyron Henderson,11,2,2,0,5.5,16,68.75,0,0,0,1
Udit Birla,7,2,1,0,7,14,50,0,0,1,0
Umar Gul,39,6,4,1,13,19,205.26,0,0,1,5
Umesh Yadav,208,148,52,31,9.18,201,84.85,0,0,16,9
Umran Malik,23,22,6,4,11.5,16,143.75,0,0,1,2
Unmukt Chand,300,21,20,0,9.83,300,61.28,0,1,32,9
Usman Khawaja,127,6,6,0,21.16,100,127,0,0,14,3
Vaibhav Arora,9,20,8,6,2.5,16,96.15,0,0,0,0
Varun Aaron,50,38,11,6,1.92,67,71.52,0,0,2,2
Varun Chakaravarthy,25,55,12,8,2.67,46,48.61,0,0,2,0
Venkatesh Iyer,1326,51,49,7,33.19,967,135.2,1,11,121,61
Venugopal Rao,985,64,54,10,21.57,836,110.4,0,3,77,37
Vidyut Sivaramakrishnan,145,9,8,0,18.12,109,133.02,0,1,21,3
Vijay Shankar,1115,71,60,16,27.33,859,118.32,0,6,80,45
Vijay Zol,29,3,2,0,14.5,26,111.53,0,0,3,1
Vijayakanth Viyaskanth,7,3,1,1,NULL,5,140,0,0,0,0
Vikram Singh,4,13,2,0,2,3,133.33,0,0,1,0
Vikramjeet Malik,7,4,2,1,3,7,85,0,0,1,0
Vikrant Yeligati,2,2,1,0,2,2,100,0,0,0,0
Vinay Kumar,310,104,46,18,13.14,274,105.49,0,0,21,9
Virat Kohli,8004,252,244,37,38.86,6065,128.98,8,55,705,272
Virat Singh,15,3,2,0,7.5,26,57.69,0,0,1,0
Virender Sehwag,2530,93,93,4,27.79,1617,153.52,2,15,310,99
Vishnu Vinod,56,6,6,0,9.33,57,96.21,0,0,3,3
Vivrant Sharma,69,3,1,0,69,47,146.8,0,1,9,2
VVS Laxman,282,20,20,2,15.57,267,96.6,0,1,33,5
Vyshak Vijaykumar,14,11,4,2,7,12,88.89,0,0,0,1
Wanindu Hasaranga,72,26,14,4,7.64,73,85.41,0,0,7,1
Washington Sundar,378,58,38,11,12.41,324,101.22,0,0,32,9
Wasim Jaffer,130,8,8,0,13.33,121,99.4,0,1,14,3
Wayne Parnell,65,33,14,4,5.22,80,75.33,0,0,4,1
Wilkin Mota,56,12,8,2,16,75,79.4,0,0,2,0
Will Jacks,230,8,8,1,32.86,131,175.57,1,1,16,18
Wriddhiman Saha,2934,170,145,24,27.28,2300,124.76,1,13,296,87
Y Gnaneswara Rao,19,2,1,0,19,17,111.76,0,0,3,0
Yash Dhull,16,4,3,0,5.33,23,69.56,0,0,1,0
Yashasvi Jaiswal,1607,53,52,2,28.64,1067,138.32,2,9,198,64
Yashpal Singh,47,8,4,0,11.75,66,71.21,0,0,5,0
Yo Mahesh,15,11,5,3,7.5,27,55.55,0,0,0,0
Yogesh Nagar,263,24,18,6,23.13,233,112.64,0,0,19,9
